tier,model,bench,arch,arch_key,N,n,acc,lo,hi,usd_1k,samples
T2,gpt-5-nano,MedQA,Centralized,centralized,3,250,88.8,84.28899288546563,92.13662056796359,0.667132,4.184
T2,gpt-5-nano,MedQA,Centralized,centralized,5,250,89.60000000000001,85.19787370865683,92.80352558917299,0.952212,6.296
T2,gpt-5-nano,MedQA,Centralized,centralized,7,250,88.4,83.83682865919351,91.80089187203542,1.225776,8.376
T2,gpt-5-nano,MedQA,Centralized,centralized,9,250,86.0,81.15192932332553,89.75843367470158,1.512572,10.408
T2,gpt-5-nano,MedQA,Decentralized,discussion,1,250,87.6,82.93672890376607,91.12520578306224,0.134664,1.0
T2,gpt-5-nano,MedQA,Decentralized,discussion,3,250,88.8,84.28899288546563,92.13662056796359,0.50448,3.564
T2,gpt-5-nano,MedQA,Decentralized,discussion,5,250,89.2,84.74265111015622,92.47085526547332,0.858552,6.14
T2,gpt-5-nano,MedQA,Decentralized,discussion,7,250,88.8,84.28899288546563,92.13662056796359,1.26256,8.988
T2,gpt-5-nano,MedQA,Decentralized,discussion,9,250,89.60000000000001,85.19787370865683,92.80352558917299,1.7488,12.024
T2,gpt-5-nano,MedQA,Hybrid,tiered,1,250,87.6,82.93672890376607,91.12520578306224,0.1702,1.2
T2,gpt-5-nano,MedQA,Hybrid,tiered,3,250,87.2,82.48867899270435,90.78536277192366,0.264316,1.648
T2,gpt-5-nano,MedQA,Hybrid,tiered,5,250,88.8,84.28899288546563,92.13662056796359,0.345056,2.04
T2,gpt-5-nano,MedQA,Hybrid,tiered,7,250,87.2,82.48867899270435,90.78536277192366,0.429672,2.456
T2,gpt-5-nano,MedQA,Hybrid,tiered,9,250,87.6,82.93672890376607,91.12520578306224,0.527196,3.052
T2,gpt-5-nano,MedQA,Independent,independent,1,250,87.6,82.93672890376607,91.12520578306224,0.134664,1.0
T2,gpt-5-nano,MedQA,Independent,independent,3,250,88.4,83.83682865919351,91.80089187203542,0.391372,3.0
T2,gpt-5-nano,MedQA,Independent,independent,5,250,89.60000000000001,85.19787370865683,92.80352558917299,0.650372,5.0
T2,gpt-5-nano,MedQA,Independent,independent,7,250,87.6,82.93672890376607,91.12520578306224,0.902184,7.0
T2,gpt-5-nano,MedQA,Independent,independent,9,250,88.8,84.28899288546563,92.13662056796359,1.1589,9.0
T2,gpt-5-nano,MedQA,SAS CoT,cot,1,250,88.0,83.38609382488654,91.4637337841421,0.159012,1.0
T2,gpt-5-nano,MedQA,SAS zero-shot,zeroshot,1,250,87.2,82.48867899270435,90.78536277192366,0.094332,1.0
T2,gpt-5-nano,MedQA,Self-consistency,sc,1,250,84.39999999999999,79.38530425287445,88.37348705635146,0.146264,1.0
T2,gpt-5-nano,MedQA,Self-consistency,sc,3,250,86.8,82.04189328669528,90.44425555573244,0.409504,3.0
T2,gpt-5-nano,MedQA,Self-consistency,sc,5,250,88.0,83.38609382488654,91.4637337841421,0.672692,5.0
T2,gpt-5-nano,MedQA,Self-consistency,sc,9,250,87.6,82.93672890376607,91.12520578306224,1.214392,9.0
T2,gpt-5-nano,MedQA,Self-consistency,sc,15,250,88.4,83.83682865919351,91.80089187203542,2.00734,15.0
T2,gpt-5-nano,MedXpertQA,Centralized,centralized,1,500,31.4,27.48671671994545,35.59691908940415,0.72877,2.624
T2,gpt-5-nano,MedXpertQA,Centralized,centralized,3,500,36.0,31.914070629947556,40.29941868891773,1.024058,4.696
T2,gpt-5-nano,MedXpertQA,Centralized,centralized,5,500,35.0,30.947945452961218,39.28079310296588,1.380234,6.672
T2,gpt-5-nano,MedXpertQA,Centralized,centralized,7,250,36.4,30.683166884990985,42.52847376019877,1.795284,8.864
T2,gpt-5-nano,MedXpertQA,Centralized,centralized,9,250,37.2,31.44454410853008,43.34288238106028,2.16642,10.776
T2,gpt-5-nano,MedXpertQA,Decentralized,discussion,1,250,34.0,28.40956187275826,40.074721239229696,0.187864,1.004
T2,gpt-5-nano,MedXpertQA,Decentralized,discussion,3,250,38.0,32.207635551064776,44.15557678292619,0.907456,4.764
T2,gpt-5-nano,MedXpertQA,Decentralized,discussion,5,250,38.0,32.207635551064776,44.15557678292619,1.663532,9.04
